frame,abb_xmin,abb_ymin,abb_xmax,abb_ymax,bbb_xmin,bbb_ymin,bbb_xmax,bbb_ymax,a_nose_x,a_nose_y,a_nose_confidence,a_left_eye_x,a_left_eye_y,a_left_eye_confidence,a_right_eye_x,a_right_eye_y,a_right_eye_confidence,a_left_ear_x,a_left_ear_y,a_left_ear_confidence,a_right_ear_x,a_right_ear_y,a_right_ear_confidence,a_left_shoulder_x,a_left_shoulder_y,a_left_shoulder_confidence,a_right_shoulder_x,a_right_shoulder_y,a_right_shoulder_confidence,a_left_elbow_x,a_left_elbow_y,a_left_elbow_confidence,a_right_elbow_x,a_right_elbow_y,a_right_elbow_confidence,a_left_wrist_x,a_left_wrist_y,a_left_wrist_confidence,a_right_wrist_x,a_right_wrist_y,a_right_wrist_confidence,a_left_hip_x,a_left_hip_y,a_left_hip_confidence,a_right_hip_x,a_right_hip_y,a_right_hip_confidence,a_left_knee_x,a_left_knee_y,a_left_knee_confidence,a_right_knee_x,a_right_knee_y,a_right_knee_confidence,a_left_ankle_x,a_left_ankle_y,a_left_ankle_confidence,a_right_ankle_x,a_right_ankle_y,a_right_ankle_confidence,b_nose_x,b_nose_y,b_nose_confidence,b_left_eye_x,b_left_eye_y,b_left_eye_confidence,b_right_eye_x,b_right_eye_y,b_right_eye_confidence,b_left_ear_x,b_left_ear_y,b_left_ear_confidence,b_right_ear_x,b_right_ear_y,b_right_ear_confidence,b_left_shoulder_x,b_left_shoulder_y,b_left_shoulder_confidence,b_right_shoulder_x,b_right_shoulder_y,b_right_shoulder_confidence,b_left_elbow_x,b_left_elbow_y,b_left_elbow_confidence,b_right_elbow_x,b_right_elbow_y,b_right_elbow_confidence,b_left_wrist_x,b_left_wrist_y,b_left_wrist_confidence,b_right_wrist_x,b_right_wrist_y,b_right_wrist_confidence,b_left_hip_x,b_left_hip_y,b_left_hip_confidence,b_right_hip_x,b_right_hip_y,b_right_hip_confidence,b_left_knee_x,b_left_knee_y,b_left_knee_confidence,b_right_knee_x,b_right_knee_y,b_right_knee_confidence,b_left_ankle_x,b_left_ankle_y,b_left_ankle_confidence,b_right_ankle_x,b_right_ankle_y,b_right_ankle_confidence
0,623,303,685,389,768,368,895,587,121.0,35.0,0.7385216355323792,126.0,28.0,0.786353349685669,112.0,28.0,0.7619885802268982,137.0,31.0,0.6741594076156616,95.0,31.0,0.7719770669937134,155.0,61.0,0.6075894832611084,75.0,57.0,0.5875162482261658,173.0,101.0,0.44467446208000183,47.0,81.0,0.4992108941078186,170.0,140.0,0.44980287551879883,45.0,104.0,0.43857064843177795,138.0,125.0,0.4711957275867462,85.0,126.0,0.47788721323013306,156.0,170.0,0.6039401292800903,59.0,169.0,0.6135813593864441,162.0,225.0,0.5342002511024475,33.0,214.0,0.5318928360939026,84.0,32.0,0.32917070388793945,83.0,28.0,0.1355401575565338,83.0,32.0,0.48475849628448486,51.0,44.0,0.47644734382629395,81.0,34.0,0.7748529314994812,50.0,70.0,0.5364735126495361,114.0,48.0,0.572780191898346,28.0,82.0,0.43701839447021484,155.0,29.0,0.5261145234107971,16.0,90.0,0.5926307439804077,171.0,13.0,0.5291374325752258,101.0,120.0,0.4611283540725708,149.0,117.0,0.46134164929389954,77.0,176.0,0.6855905055999756,145.0,168.0,0.6728418469429016,67.0,225.0,0.7670367956161499,151.0,216.0,0.7885085940361023
1,624,303,686,389,768,384,894,597,118.0,36.0,0.7334784269332886,125.0,28.0,0.7548143863677979,110.0,28.0,0.7536678314208984,135.0,31.0,0.6571898460388184,95.0,33.0,0.7553849816322327,155.0,61.0,0.5907883644104004,74.0,58.0,0.5446203947067261,173.0,104.0,0.46656686067581177,47.0,81.0,0.43799659609794617,168.0,145.0,0.44574815034866333,42.0,109.0,0.39877432584762573,138.0,124.0,0.47300243377685547,85.0,125.0,0.47531092166900635,158.0,168.0,0.622805118560791,62.0,168.0,0.6484878659248352,166.0,223.0,0.5464378595352173,37.0,214.0,0.5654622316360474,87.0,15.0,0.3513243794441223,40.0,28.0,0.28458964824676514,83.0,14.0,0.44884011149406433,54.0,30.0,0.5242231488227844,83.0,19.0,0.7407680153846741,47.0,58.0,0.49744361639022827,113.0,36.0,0.5674283504486084,14.0,87.0,0.5783138871192932,144.0,25.0,0.3368290662765503,17.0,80.0,0.263204962015152,167.0,19.0,0.5173946022987366,104.0,110.0,0.4946193993091583,149.0,105.0,0.46797436475753784,86.0,169.0,0.6939516067504883,152.0,160.0,0.6889950037002563,78.0,224.0,0.7513919472694397,164.0,208.0,0.7659661173820496
2,625,304,688,390,769,392,897,609,117.0,37.0,0.7379216551780701,123.0,28.0,0.7592655420303345,110.0,28.0,0.7645842432975769,134.0,32.0,0.6751722097396851,92.0,31.0,0.777665913105011,150.0,58.0,0.6013866066932678,72.0,56.0,0.5778905749320984,169.0,101.0,0.4753272235393524,45.0,79.0,0.5088066458702087,166.0,145.0,0.5156971216201782,38.0,104.0,0.4644450545310974,135.0,121.0,0.4670049250125885,83.0,121.0,0.48404040932655334,156.0,164.0,0.5781056880950928,60.0,164.0,0.6671563982963562,168.0,219.0,0.5767111778259277,37.0,212.0,0.5989428758621216,87.0,13.0,0.2781614661216736,40.0,24.0,0.24016745388507843,79.0,8.0,0.4100971519947052,51.0,29.0,0.5088253021240234,82.0,18.0,0.6532338857650757,34.0,58.0,0.508088231086731,112.0,36.0,0.5881380438804626,12.0,88.0,0.7183142900466919,146.0,29.0,0.46294116973876953,29.0,69.0,0.22595252096652985,175.0,27.0,0.5279317498207092,101.0,109.0,0.489507257938385,145.0,101.0,0.46970313787460327,92.0,166.0,0.6638484001159668,155.0,155.0,0.6842464804649353,92.0,224.0,0.7152758836746216,172.0,204.0,0.7049351334571838
3,626,306,694,390,770,401,908,614,106.0,34.0,0.7664833068847656,113.0,26.0,0.7928565740585327,100.0,26.0,0.7947741746902466,123.0,29.0,0.7319270968437195,87.0,29.0,0.8043802380561829,140.0,58.0,0.6403232216835022,67.0,53.0,0.5970858931541443,156.0,102.0,0.47762009501457214,41.0,76.0,0.5863579511642456,156.0,138.0,0.4659091532230377,32.0,108.0,0.5157315731048584,125.0,120.0,0.48141583800315857,77.0,123.0,0.4989229440689087,148.0,166.0,0.5289090871810913,56.0,166.0,0.6334850192070007,164.0,216.0,0.5357949137687683,28.0,222.0,0.537116527557373,40.0,26.0,0.18410253524780273,36.0,24.0,0.2895590364933014,83.0,16.0,0.2540462613105774,46.0,29.0,0.5675612688064575,79.0,19.0,0.7269077897071838,34.0,56.0,0.5661584138870239,107.0,38.0,0.6009013056755066,12.0,88.0,0.780333399772644,173.0,36.0,0.5054917335510254,27.0,74.0,0.3204510509967804,172.0,52.0,0.6040177941322327,95.0,112.0,0.4759121537208557,133.0,102.0,0.4751328229904175,92.0,170.0,0.6843752264976501,147.0,155.0,0.6965208053588867,108.0,228.0,0.7725497484207153,172.0,203.0,0.7258101105690002
4,627,307,698,393,771,409,917,616,105.0,35.0,0.8248134255409241,111.0,28.0,0.8329759240150452,100.0,27.0,0.8119775652885437,117.0,31.0,0.7412722110748291,84.0,29.0,0.8366190791130066,133.0,60.0,0.6626245975494385,64.0,56.0,0.6371383666992188,151.0,103.0,0.5276930928230286,38.0,76.0,0.6007572412490845,154.0,139.0,0.5875213742256165,30.0,106.0,0.5017918348312378,120.0,119.0,0.4846701920032501,75.0,120.0,0.5046504139900208,146.0,162.0,0.4741063117980957,56.0,162.0,0.6512397527694702,166.0,212.0,0.47956976294517517,23.0,222.0,0.551025927066803,37.0,26.0,0.24608121812343597,36.0,24.0,0.3769906759262085,79.0,12.0,0.18203671276569366,45.0,29.0,0.6581630706787109,76.0,22.0,0.7959296703338623,34.0,58.0,0.6059540510177612,105.0,43.0,0.6587515473365784,12.0,92.0,0.8260630965232849,161.0,51.0,0.7873622179031372,29.0,81.0,0.31445011496543884,162.0,69.0,0.7613363265991211,89.0,119.0,0.5077517628669739,128.0,109.0,0.4940781891345978,91.0,177.0,0.7104545831680298,139.0,155.0,0.6683234572410583,113.0,235.0,0.7572113275527954,177.0,204.0,0.7406530380249023
5,625,310,704,393,776,420,926,617,105.0,33.0,0.8531864285469055,111.0,26.0,0.8669393062591553,100.0,26.0,0.8600834012031555,117.0,30.0,0.6813145279884338,85.0,27.0,0.8567718863487244,128.0,60.0,0.7069461941719055,64.0,56.0,0.6596108078956604,142.0,102.0,0.5941742658615112,43.0,76.0,0.5722517371177673,148.0,135.0,0.7119971513748169,34.0,104.0,0.5295194983482361,116.0,122.0,0.530959963798523,73.0,125.0,0.5413322448730469,141.0,163.0,0.5951200127601624,56.0,166.0,0.6515239477157593,173.0,221.0,0.551627516746521,23.0,228.0,0.5755186080932617,33.0,22.0,0.39093369245529175,32.0,20.0,0.5322695374488831,32.0,19.0,0.3230496048927307,40.0,26.0,0.6782246232032776,70.0,20.0,0.726206362247467,28.0,58.0,0.6303290724754333,99.0,43.0,0.696220874786377,11.0,95.0,0.7858786582946777,147.0,60.0,0.8596586585044861,26.0,83.0,0.3956812024116516,143.0,83.0,0.777143120765686,84.0,122.0,0.517393171787262,121.0,111.0,0.4965776801109314,83.0,181.0,0.7379287481307983,131.0,156.0,0.6277628540992737,107.0,238.0,0.7632246017456055,175.0,204.0,0.7258516550064087
6,625,311,710,394,778,424,925,616,106.0,36.0,0.8674790859222412,111.0,29.0,0.8813713788986206,101.0,29.0,0.8693870902061462,115.0,32.0,0.6643517017364502,87.0,31.0,0.8825979232788086,120.0,62.0,0.7504656910896301,63.0,57.0,0.7174892425537109,137.0,102.0,0.627332329750061,41.0,83.0,0.5609710216522217,148.0,132.0,0.6972276568412781,31.0,115.0,0.49639707803726196,109.0,125.0,0.5878841280937195,69.0,125.0,0.570809543132782,134.0,164.0,0.620480477809906,51.0,169.0,0.6558327078819275,173.0,225.0,0.5548732280731201,20.0,227.0,0.602004885673523,37.0,26.0,0.3404172658920288,36.0,24.0,0.4186164140701294,34.0,23.0,0.2094430923461914,41.0,29.0,0.6766385436058044,70.0,22.0,0.6991928219795227,26.0,62.0,0.6865940093994141,101.0,46.0,0.6886610984802246,11.0,99.0,0.8102518320083618,141.0,72.0,0.8463010787963867,27.0,86.0,0.3082963228225708,135.0,95.0,0.614132821559906,86.0,124.0,0.5156399011611938,125.0,113.0,0.5411680340766907,80.0,186.0,0.7073540091514587,133.0,157.0,0.6484658718109131,106.0,239.0,0.7655868530273438,172.0,202.0,0.7179733514785767
7,625,312,714,394,782,427,916,617,109.0,39.0,0.8571684956550598,113.0,32.0,0.8908193111419678,103.0,31.0,0.8630304932594299,117.0,35.0,0.6683594584465027,90.0,32.0,0.875935435295105,121.0,68.0,0.7512167692184448,65.0,61.0,0.7072911858558655,135.0,108.0,0.6837806105613708,44.0,92.0,0.5512586236000061,155.0,136.0,0.712069571018219,28.0,122.0,0.6271645426750183,106.0,128.0,0.591753363609314,68.0,129.0,0.5648075342178345,134.0,168.0,0.6942751407623291,52.0,170.0,0.6977124214172363,170.0,221.0,0.5758599638938904,20.0,224.0,0.623353898525238,37.0,26.0,0.34087181091308594,36.0,24.0,0.4467621147632599,36.0,23.0,0.22645306587219238,43.0,29.0,0.6453099846839905,75.0,23.0,0.6690436005592346,26.0,62.0,0.6929441094398499,111.0,49.0,0.6567346453666687,11.0,100.0,0.803206205368042,139.0,80.0,0.6924374103546143,25.0,83.0,0.17888537049293518,124.0,101.0,0.18736077845096588,90.0,128.0,0.452433317899704,134.0,117.0,0.5010815858840942,80.0,184.0,0.7030490040779114,139.0,152.0,0.7048217058181763,110.0,236.0,0.7708624005317688,172.0,196.0,0.7291727662086487
8,625,313,717,394,785,427,907,616,114.0,40.0,0.8357548117637634,118.0,33.0,0.868067741394043,109.0,33.0,0.8622820377349854,123.0,36.0,0.6208999156951904,97.0,33.0,0.8653309941291809,124.0,68.0,0.7529858350753784,71.0,61.0,0.7390114665031433,138.0,109.0,0.6881084442138672,47.0,95.0,0.5991860032081604,161.0,137.0,0.7048723697662354,29.0,123.0,0.653367280960083,106.0,128.0,0.5890485644340515,71.0,129.0,0.5540731549263,136.0,172.0,0.6947299242019653,51.0,173.0,0.6935105919837952,170.0,225.0,0.5803117156028748,19.0,225.0,0.6181591153144836,40.0,28.0,0.37620800733566284,40.0,24.0,0.48174169659614563,40.0,23.0,0.26047283411026,47.0,29.0,0.6299070119857788,82.0,24.0,0.6217049956321716,26.0,64.0,0.6755256652832031,117.0,52.0,0.610047459602356,14.0,102.0,0.7727845907211304,141.0,83.0,0.5208039879798889,35.0,82.0,0.19380587339401245,106.0,82.0,0.14391420781612396,91.0,132.0,0.4480976462364197,137.0,121.0,0.4182142913341522,84.0,185.0,0.696201741695404,146.0,148.0,0.6351300477981567,116.0,236.0,0.7434400320053101,173.0,192.0,0.728374183177948
9,625,315,722,395,788,426,901,617,117.0,36.0,0.8258533477783203,121.0,30.0,0.8587430119514465,113.0,29.0,0.8577914237976074,127.0,32.0,0.5963231325149536,99.0,30.0,0.8763887882232666,126.0,66.0,0.753496527671814,76.0,58.0,0.727533221244812,137.0,105.0,0.6735956072807312,49.0,91.0,0.6365010738372803,165.0,129.0,0.6955293416976929,30.0,119.0,0.6825672388076782,108.0,130.0,0.5775723457336426,72.0,129.0,0.5408926010131836,136.0,175.0,0.702808141708374,51.0,177.0,0.6911897659301758,166.0,229.0,0.5985389351844788,20.0,222.0,0.6070937514305115,45.0,32.0,0.4466095268726349,46.0,28.0,0.6062037348747253,44.0,27.0,0.39479392766952515,51.0,30.0,0.6405420899391174,86.0,26.0,0.5634708404541016,24.0,64.0,0.622412383556366,123.0,51.0,0.5449666976928711,15.0,99.0,0.7501434087753296,141.0,83.0,0.40909257531166077,44.0,82.0,0.18450087308883667,104.0,82.0,0.14503641426563263,93.0,132.0,0.43660393357276917,145.0,121.0,0.3931407332420349,88.0,184.0,0.7020493745803833,153.0,142.0,0.5795503258705139,122.0,235.0,0.7406677603721619,171.0,188.0,0.7769327163696289
